TypeKey,Description,Name,Value,Case Labels
kCVPixelFormatType_TwoComponent8," 8 bit two component, black is zero ",TwoComponent8,843264056,.twoComponent8:
kCVPixelFormatType_30RGBLEPackedWideGamut," little-endian RGB101010, 2 MSB are zero, wide-gamut (384-895) ",30RGBLEPackedWideGamut,1999843442,.RGBLEPackedWideGamut30:
kCVPixelFormatType_OneComponent16Half," 16 bit one component IEEE half-precision float, 16-bit little-endian samples ",OneComponent16Half,1278226536,.oneComponent16Half:
kCVPixelFormatType_OneComponent32Float," 32 bit one component IEEE float, 32-bit little-endian samples ",OneComponent32Float,1278226534,.oneComponent32Float:
kCVPixelFormatType_TwoComponent16Half," 16 bit two component IEEE half-precision float, 16-bit little-endian samples ",TwoComponent16Half,843264104,.twoComponent16Half:
kCVPixelFormatType_TwoComponent32Float," 32 bit two component IEEE float, 32-bit little-endian samples ",TwoComponent32Float,843264102,.twoComponent32Float:
kCVPixelFormatType_64RGBAHalf," 64 bit RGBA IEEE half-precision float, 16-bit little-endian samples ",64RGBAHalf,1380411457,.RGBAHalf64:
kCVPixelFormatType_128RGBAFloat," 128 bit RGBA IEEE float, 32-bit little-endian samples ",128RGBAFloat,1380410945,.RGBAFloat128:
kCVPixelFormatType_14Bayer_GRBG," Bayer 14-bit Little-Endian, packed in 16-bits, ordered G R G R... alternating with B G B G... ",14Bayer_GRBG,1735549492,.bayer_GRBG14:
kCVPixelFormatType_14Bayer_RGGB," Bayer 14-bit Little-Endian, packed in 16-bits, ordered R G R G... alternating with G B G B... ",14Bayer_RGGB,1919379252,.bayer_RGGB14:
kCVPixelFormatType_14Bayer_BGGR," Bayer 14-bit Little-Endian, packed in 16-bits, ordered B G B G... alternating with G R G R... ",14Bayer_BGGR,1650943796,.bayer_BGGR14:
kCVPixelFormatType_14Bayer_GBRG," Bayer 14-bit Little-Endian, packed in 16-bits, ordered G B G B... alternating with R G R G... ",14Bayer_GBRG,1734505012,.bayer_GBRG14:
